city,state,latitude,longitude
BREWTON,AL,31.109175,-87.076583
BRIDGEPORT,AL,34.949312,-85.723765
BRIGHTON,AL,33.439551,-86.945404
BRILLIANT,AL,34.025671,-87.769047
BRISTOW COVE,AL,34.109216,-86.240993
BROOK HIGHLAND,AL,33.438035,-86.685262
BROOKSIDE,AL,33.637404,-86.89266
BROOKWOOD,AL,33.239842,-87.331488
BROOMTOWN,AL,34.365728,-85.532112
BRUNDIDGE,AL,31.717639,-85.81755
BUCKS,AL,31.016881,-88.026385
BUTLER,AL,32.096479,-88.210781
CALERA,AL,33.122319,-86.745644
CALVERT,AL,31.149898,-88.021549
CAMDEN,AL,31.998493,-87.28895
CAMP HILL,AL,32.797327,-85.655833
CARBON HILL,AL,33.894991,-87.522078
CARDIFF,AL,33.64729,-86.930637
CARLISLE-ROCKLEDGE,AL,34.114451,-86.124073
CARLTON,AL,31.348571,-87.835666
CAROLINA,AL,31.23415,-86.521001
CARROLLTON,AL,33.261903,-88.095071
CASTLEBERRY,AL,31.299678,-87.029129
CATHERINE,AL,32.18617,-87.469978
CEDAR BLUFF,AL,34.221422,-85.588565
CENTER POINT,AL,33.643903,-86.684567
CENTRE,AL,34.153059,-85.671683
CENTREVILLE,AL,32.958967,-87.132043
CHATOM,AL,31.469145,-88.246019
CHELSEA,AL,33.309007,-86.635139
CHEROKEE,AL,34.7577,-87.965589
CHEROKEE RIDGE,AL,34.420931,-86.563316
CHICKASAW,AL,30.77145,-88.079697
CHILDERSBURG,AL,33.292558,-86.340864
CHOCCOLOCCO,AL,33.667728,-85.707191
CHUNCHULA,AL,30.927194,-88.2082
CITRONELLE,AL,31.097269,-88.249843
CLANTON,AL,32.845572,-86.619494
CLAY,AL,33.696583,-86.608182
CLAYHATCHEE,AL,31.236925,-85.721478
CLAYTON,AL,31.882277,-85.460454
CLEVELAND,AL,34.002179,-86.561352
CLIO,AL,31.708516,-85.611039
COALING,AL,33.169901,-87.349887
COATS BEND,AL,34.073273,-85.874602
COFFEE SPRINGS,AL,31.165836,-85.910898
COFFEEVILLE,AL,31.766564,-88.086049
COKER,AL,33.243752,-87.681329
COLLINSVILLE,AL,34.267224,-85.86861
COLONY,AL,33.941393,-86.902001
COLUMBIA,AL,31.295351,-85.110202
COLUMBIANA,AL,33.191452,-86.615618
